Time,m_omega,m_omega_dot,m_omega_dot_dot,m_accel_dot,M_omega,M_omega_dot,M_omega_dot_dot,M_accel_dot,excited?
52.6664,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.6689,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.6714,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.6738,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.6763,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.6787,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.6812,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.6836,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.6861,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.6885,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.691,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.6934,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.6959,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.6983,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7008,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7032,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7057,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7082,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7106,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7131,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7155,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.718,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7204,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7229,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7253,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7278,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7302,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7327,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7351,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7376,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.74,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7425,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.745,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7474,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7499,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7523,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7548,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7572,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7597,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7621,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7646,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.767,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7695,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7719,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7744,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7769,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7793,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7818,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7842,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7867,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7891,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7916,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.794,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.7965,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8014,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8038,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8063,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8087,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8112,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8137,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8161,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8186,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.821,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8235,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8259,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8308,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8333,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8357,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8382,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8406,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8431,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8455,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.848,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8505,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8529,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8554,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8578,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8603,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8627,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8652,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8676,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8701,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8725,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.875,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8774,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8799,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8824,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8848,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8873,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8897,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8922,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8946,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8971,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.8995,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.902,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9044,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9118,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9142,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9167,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9192,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9216,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9241,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9265,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.929,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9314,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9339,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9363,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9388,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9412,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9437,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9461,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9486,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.951,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9535,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.956,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9584,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9633,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9658,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9682,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9707,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9731,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9756,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.978,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9805,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9829,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9854,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9879,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9903,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9928,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9952,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
52.9977,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0001,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0026,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.005,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0075,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0099,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0124,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0148,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0173,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0197,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0222,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0247,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0271,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0296,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.032,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
53.0345,0.135605,0.00990544,0.0121224,0.105675,1.09267,0.0192513,0.0197198,0.437667,1
